"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-05","5.82","0.00","0.0","0.0",,"55","39","  360","   20","14.1","19.9","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-06","6.93","0.51","0.0","0.0",,"41","35","   60","   40","15.0","19.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-07","9.62","0.25","0.0","0.0",,"56","33","  280","  290","23.9","46.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-08","7.38","0.00","0.0","0.0",,"41","30","  290","  270","18.1","28.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-09","5.82","0.00","0.0","0.0",,"44","31","  250","  250","13.0","19.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-10","6.26","0.37","0.0","0.0",,"47","42","  230","  240","14.1","23.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-11","3.58","0.28","0.0","0.0",,"48","43","  300","  300","14.1","21.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-12","5.37","0.13","0.0","0.0",,"46","37","  300","  300","16.1","27.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-13","4.25","0.39","0.0","0.0",,"44","37","  290","  280","14.1","25.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-14","7.38","0.00","0.0","0.0",,"40","18","  300","  300","19.9","32.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-15","4.92","0.00","0.0","0.0",,"31","14","  220","  240","17.0","23.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-16","5.59","0.00","0.0","0.0",,"44","30","  220","  220","15.0","23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-17","5.14","0.00","0.0","0.0",,"51","38","   50","   50","17.0","27.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-18","6.26","0.00","0.0","0.0",,"47","38","   80","  100","15.0","21.0","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-19","7.38","0.00","0.0","0.0",,"48","32","  300","  310","17.0","27.1","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-20","5.82","0.00","0.0","0.0",,"35","26","  260","  340","15.0","21.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-21","5.37","0.00","0.0","0.0",,"35","20","  350","  330","15.0","21.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-22","6.26","0.00","0.0","0.0",,"50","30","  240","  220","14.1","23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-23","4.47","0.00","0.0","0.0",,"56","39","  230","  230","13.0","19.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-24","2.91","0.00","0.0","0.0",,"62","41","  140","  140","12.1","15.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-25","3.80","0.14","0.0","0.0",,"53","46","   60","  220","12.1","17.0","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-26","7.16","0.00","0.0","0.0",,"48","43","  100","  120","14.1","23.0","    1",,,
