boro,month,awnd,prcp,snow,tmax,tmin,wsf2,wt01,wt02,wt03,wt04,wt06,wt08,holiday,crime_type,weekday,value
MANHATTAN,6,1,0,0,90,75,16.1,0,0,0,0,0,0,0,violent,3,77
MANHATTAN,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,violent,4,91
BROOKLYN,8,0,0,0,89,75,14.1,0,0,0,0,0,0,0,violent,7,132
BRONX,7,0,0,0,84,72,12.1,1,0,0,0,0,0,0,violent,6,94
QUEENS,7,0,0,0,96,78,10.1,0,0,0,0,0,0,0,other,4,57
BRONX,7,0,1,0,79,68,12.1,1,0,0,0,0,1,0,other,5,55
BROOKLYN,6,0,0,0,82,68,14.1,1,0,0,0,0,0,0,theft_property,3,68
QUEENS,7,0,1,0,79,68,12.1,1,0,0,0,0,1,0,theft_property,5,75
BRONX,6,0,0,0,83,65,13,0,0,0,0,0,0,0,violent,5,116
QUEENS,6,1,1,0,73,62,18.1,1,0,0,0,0,0,0,other,1,26
BROOKLYN,7,0,0,0,75,69,8.9,0,0,0,0,0,1,0,other,7,90
QUEENS,7,0,0,0,81,67,12.1,0,0,0,0,0,0,0,theft_property,6,42
BRONX,7,0,0,0,88,75,13,1,0,0,0,0,1,0,violent,3,136
BROOKLYN,8,0,0,0,89,75,14.1,0,0,0,0,0,0,0,theft_property,7,86
BROOKLYN,6,0,0,0,83,65,13,0,0,0,0,0,0,0,theft_property,5,123
MANHATTAN,7,0,0,0,88,73,10.1,0,0,0,0,0,0,0,theft_property,2,88
MANHATTAN,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,other,4,124
BRONX,7,0,0,0,83,72,12.1,0,0,0,0,0,1,0,violent,2,58
QUEENS,7,0,0,0,75,69,8.9,0,0,0,0,0,1,0,other,7,51
BROOKLYN,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,violent,7,105
QUEENS,7,0,0,0,83,68,6.9,0,0,0,0,0,0,0,other,1,54
QUEENS,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,other,7,67
BRONX,7,0,0,0,95,75,8.9,0,0,0,0,0,1,0,theft_property,3,69
QUEENS,7,0,0,0,95,75,8.9,0,0,0,0,0,1,0,theft_property,3,63
BROOKLYN,8,0,0,0,87,72,12.1,0,0,0,0,0,0,0,other,4,93
BRONX,6,1,1,0,71,58,16.1,1,0,0,0,0,0,0,other,7,46
BRONX,7,0,0,0,87,70,10.1,0,0,0,0,0,0,0,violent,6,103
MANHATTAN,8,0,0,0,87,72,12.1,0,0,0,0,0,0,0,theft_property,4,149
QUEENS,7,0,0,0,84,72,12.1,1,0,0,0,0,0,0,other,6,59
QUEENS,6,0,0,0,76,63,12.1,0,0,0,0,0,0,0,theft_property,2,48
MANHATTAN,7,0,0,0,89,74,10.1,0,0,0,0,0,0,0,violent,3,73
BROOKLYN,7,0,1,0,82,73,8.1,1,0,0,0,0,1,0,theft_property,3,89
BROOKLYN,7,0,0,0,89,74,10.1,0,0,0,0,0,0,0,violent,3,112
BRONX,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,other,7,56
BRONX,7,0,1,0,85,71,10.1,1,0,0,0,0,1,0,theft_property,7,57
BRONX,8,0,0,0,89,71,12.1,0,0,0,0,0,0,0,violent,1,93
BROOKLYN,6,0,0,0,82,68,14.1,1,0,0,0,0,0,0,other,3,78
BRONX,8,0,0,0,90,75,12.1,0,0,0,0,0,0,0,violent,2,95
QUEENS,7,0,0,0,88,77,13,0,0,0,0,0,1,0,other,4,101
QUEENS,7,0,0,0,90,74,12.1,0,0,0,0,0,0,0,violent,1,60
BROOKLYN,7,0,0,0,94,82,12.1,0,0,0,0,0,0,0,theft_property,2,74
BROOKLYN,8,0,0,0,89,71,12.1,0,0,0,0,0,0,0,other,1,90
STATEN ISLAND,7,0,0,0,89,72,12.1,1,0,0,0,0,1,0,other,6,4
BRONX,7,0,0,0,80,69,8.1,0,0,0,0,0,0,0,other,5,66
BROOKLYN,7,0,0,0,80,69,8.1,0,0,0,0,0,0,0,violent,5,101
BROOKLYN,7,0,0,0,81,72,13,1,0,0,0,0,1,0,violent,4,119
BROOKLYN,7,0,1,0,82,73,8.1,1,0,0,0,0,1,0,other,3,82
BRONX,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,violent,7,113
MANHATTAN,7,0,0,0,83,68,6.9,0,0,0,0,0,0,0,theft_property,1,50
BROOKLYN,7,0,0,0,88,73,10.1,0,0,0,0,0,0,0,other,2,71
BROOKLYN,7,0,0,0,89,74,10.1,0,0,0,0,0,0,0,other,3,90
MANHATTAN,7,0,1,0,86,71,19.9,1,0,0,0,0,1,0,theft_property,2,80
QUEENS,7,0,1,0,87,76,12.1,1,0,0,0,0,1,0,violent,5,78
QUEENS,7,0,0,0,88,75,13,1,0,0,0,0,1,0,theft_property,3,86
MANHATTAN,7,0,0,0,82,66,8.9,0,0,0,0,0,0,1,other,6,89
MANHATTAN,7,1,0,0,80,64,15,0,0,0,0,0,0,0,violent,5,97
BRONX,7,0,0,0,75,69,8.9,0,0,0,0,0,1,0,violent,7,73
BROOKLYN,7,0,1,0,79,68,12.1,1,0,0,0,0,1,0,other,5,74
BROOKLYN,7,0,0,0,88,73,10.1,0,0,0,0,0,0,0,violent,2,94
BROOKLYN,7,0,0,0,80,69,8.1,0,0,0,0,0,0,0,theft_property,5,108
BROOKLYN,7,0,0,0,82,66,8.9,0,0,0,0,0,0,1,violent,6,145
QUEENS,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,violent,4,93
BROOKLYN,6,1,1,0,71,58,16.1,1,0,0,0,0,0,0,violent,7,102
BRONX,7,0,0,0,88,77,13,0,0,0,0,0,1,0,other,4,62
BROOKLYN,6,0,0,0,81,69,16.1,0,0,0,0,0,0,0,other,6,73
BROOKLYN,7,0,0,0,81,67,12.1,0,0,0,0,0,0,0,violent,6,103
BRONX,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,theft_property,4,88
QUEENS,6,0,0,0,83,65,13,0,0,0,0,0,0,0,theft_property,5,83
BRONX,6,0,0,0,82,68,14.1,1,0,0,0,0,0,0,theft_property,3,66
BROOKLYN,7,0,0,0,88,77,13,0,0,0,0,0,1,0,theft_property,4,105
QUEENS,7,0,0,0,86,68,13,0,0,0,0,0,0,0,violent,5,62
BROOKLYN,6,0,0,0,76,63,12.1,0,0,0,0,0,0,0,other,2,53
BRONX,6,1,1,0,73,62,18.1,1,0,0,0,0,0,0,violent,1,76
MANHATTAN,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,other,7,75
QUEENS,8,0,0,0,89,75,14.1,0,0,0,0,0,0,0,other,7,51
QUEENS,7,0,0,0,89,72,12.1,1,0,0,0,0,1,0,other,6,52
BRONX,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,violent,7,122
BRONX,6,0,0,0,81,69,16.1,0,0,0,0,0,0,0,violent,6,119
BRONX,7,0,0,0,89,74,10.1,0,0,0,0,0,0,0,violent,3,118
STATEN ISLAND,7,0,0,0,90,74,12.1,0,0,0,0,0,0,0,violent,1,9
MANHATTAN,7,0,0,0,89,72,12.1,1,0,0,0,0,1,0,theft_property,6,101
BROOKLYN,6,0,0,0,76,63,12.1,0,0,0,0,0,0,0,violent,2,65
BROOKLYN,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,violent,4,104
MANHATTAN,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,theft_property,7,77
QUEENS,7,1,0,0,85,69,14.1,0,0,0,0,0,0,0,other,4,85
MANHATTAN,7,0,0,0,87,70,10.1,0,0,0,0,0,0,0,theft_property,6,112
QUEENS,7,0,0,0,83,68,6.9,0,0,0,0,0,0,0,violent,1,55
STATEN ISLAND,7,0,0,0,88,73,10.1,0,0,0,0,0,0,0,theft_property,2,7
BROOKLYN,6,1,0,0,90,75,16.1,0,0,0,0,0,0,0,theft_property,3,99
QUEENS,7,0,0,0,88,77,13,0,0,0,0,0,1,0,violent,4,100
QUEENS,7,0,0,0,89,74,10.1,0,0,0,0,0,0,0,other,3,77
MANHATTAN,7,1,0,0,80,64,15,0,0,0,0,0,0,0,theft_property,5,123
BRONX,7,0,0,0,82,66,8.9,0,0,0,0,0,0,1,theft_property,6,66
BRONX,6,0,0,0,81,69,16.1,0,0,0,0,0,0,0,theft_property,6,56
BRONX,7,0,0,0,88,77,13,0,0,0,0,0,1,0,violent,4,138
BRONX,7,0,0,0,75,69,8.9,0,0,0,0,0,1,0,other,7,71
BRONX,6,1,1,0,73,62,18.1,1,0,0,0,0,0,0,other,1,25
QUEENS,7,0,0,0,80,69,8.1,0,0,0,0,0,0,0,violent,5,78
MANHATTAN,7,0,0,0,75,69,8.9,0,0,0,0,0,1,0,other,7,57
MANHATTAN,8,1,1,0,89,69,23,1,0,0,0,0,0,0,violent,3,65
STATEN ISLAND,7,0,1,0,86,71,19.9,1,0,0,0,0,1,0,theft_property,2,13
BRONX,8,0,0,0,87,72,12.1,0,0,0,0,0,0,0,theft_property,4,69
BROOKLYN,8,1,1,0,89,69,23,1,0,0,0,0,0,0,violent,3,102
QUEENS,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,other,4,64
BROOKLYN,8,0,0,0,90,75,12.1,0,0,0,0,0,0,0,violent,2,97
QUEENS,7,0,0,0,89,72,12.1,1,0,0,0,0,1,0,violent,6,51
MANHATTAN,7,0,0,0,83,68,6.9,0,0,0,0,0,0,0,violent,1,61
BRONX,7,0,0,0,96,78,10.1,0,0,0,0,0,0,0,other,4,92
MANHATTAN,7,0,1,0,79,68,12.1,1,0,0,0,0,1,0,theft_property,5,134
MANHATTAN,6,0,0,0,82,68,14.1,1,0,0,0,0,0,0,other,3,70
QUEENS,7,1,0,0,80,64,15,0,0,0,0,0,0,0,theft_property,5,66
STATEN ISLAND,8,1,1,0,89,69,23,1,0,0,0,0,0,0,violent,3,14
BROOKLYN,6,1,0,0,90,75,16.1,0,0,0,0,0,0,0,violent,3,108
BRONX,7,0,0,0,93,78,14.1,0,0,0,0,0,0,0,theft_property,1,46
QUEENS,7,0,1,0,87,76,12.1,1,0,0,0,0,1,0,other,5,82
MANHATTAN,6,1,0,0,90,75,16.1,0,0,0,0,0,0,0,theft_property,3,124
MANHATTAN,7,1,0,0,80,64,15,0,0,0,0,0,0,0,other,5,119
BRONX,8,0,0,0,89,75,14.1,0,0,0,0,0,0,0,other,7,33
MANHATTAN,8,0,0,0,87,72,12.1,0,0,0,0,0,0,0,other,4,127
STATEN ISLAND,7,0,0,0,88,73,10.1,0,0,0,0,0,0,0,other,2,7
BROOKLYN,7,0,0,0,84,72,12.1,1,0,0,0,0,0,0,other,6,103
MANHATTAN,7,0,0,0,81,72,13,1,0,0,0,0,1,0,violent,4,110
BRONX,7,0,1,0,82,73,8.1,1,0,0,0,0,1,0,violent,3,110
MANHATTAN,6,1,1,0,71,58,16.1,1,0,0,0,0,0,0,theft_property,7,63
MANHATTAN,6,0,0,0,81,69,16.1,0,0,0,0,0,0,0,other,6,77
BRONX,7,0,0,0,75,69,8.9,0,0,0,0,0,1,0,theft_property,7,37
MANHATTAN,7,0,1,0,87,76,12.1,1,0,0,0,0,1,0,theft_property,5,121
QUEENS,8,0,0,0,90,75,12.1,0,0,0,0,0,0,0,violent,2,48
MANHATTAN,7,0,0,0,81,72,13,1,0,0,0,0,1,0,other,4,153
MANHATTAN,7,0,0,0,89,72,12.1,1,0,0,0,0,1,0,violent,6,88
BROOKLYN,6,1,1,0,71,58,16.1,1,0,0,0,0,0,0,other,7,68
BROOKLYN,7,0,0,0,75,69,8.9,0,0,0,0,0,1,0,violent,7,68
BRONX,7,0,0,0,81,67,12.1,0,0,0,0,0,0,0,violent,6,105
BROOKLYN,8,0,0,0,89,71,12.1,0,0,0,0,0,0,0,theft_property,1,65
QUEENS,7,0,1,0,86,71,19.9,1,0,0,0,0,1,0,theft_property,2,37
BROOKLYN,7,0,0,0,81,67,12.1,0,0,0,0,0,0,0,other,6,111
MANHATTAN,6,0,0,0,83,65,13,0,0,0,0,0,0,0,theft_property,5,123
BROOKLYN,7,0,0,0,83,68,6.9,0,0,0,0,0,0,0,violent,1,106
STATEN ISLAND,7,0,0,0,86,68,13,0,0,0,0,0,0,0,other,5,17
QUEENS,7,0,1,0,87,76,12.1,1,0,0,0,0,1,0,theft_property,5,61
BRONX,7,0,0,0,89,72,6.9,0,0,0,0,0,0,0,theft_property,1,48
MANHATTAN,8,0,0,0,89,71,12.1,0,0,0,0,0,0,0,violent,1,49
QUEENS,8,1,1,0,89,69,23,1,0,0,0,0,0,0,violent,3,101
BRONX,7,0,0,0,89,72,12.1,1,0,0,0,0,1,0,other,6,43
BROOKLYN,7,0,1,0,85,71,10.1,1,0,0,0,0,1,0,violent,7,122
BRONX,7,0,0,0,84,72,12.1,1,0,0,0,0,0,0,other,6,53
BROOKLYN,7,0,0,0,88,75,13,1,0,0,0,0,1,0,other,3,86
BRONX,7,0,0,0,81,72,13,1,0,0,0,0,1,0,theft_property,4,77
MANHATTAN,7,0,0,0,80,69,8.1,0,0,0,0,0,0,0,other,5,99
QUEENS,7,0,0,0,83,72,12.1,0,0,0,0,0,1,0,other,2,39
QUEENS,7,0,0,0,88,77,13,0,0,0,0,0,1,0,theft_property,4,67
QUEENS,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,theft_property,4,82
MANHATTAN,6,0,0,0,81,69,16.1,0,0,0,0,0,0,0,theft_property,6,92
QUEENS,7,0,0,0,88,75,13,1,0,0,0,0,1,0,other,3,63
BROOKLYN,7,0,0,0,82,66,8.9,0,0,0,0,0,0,1,theft_property,6,75
QUEENS,7,0,1,0,82,73,8.1,1,0,0,0,0,1,0,violent,3,91
BROOKLYN,6,0,0,0,82,68,14.1,1,0,0,0,0,0,0,violent,3,99
MANHATTAN,7,0,0,0,87,70,10.1,0,0,0,0,0,0,0,other,6,88
BRONX,7,0,0,0,87,70,10.1,0,0,0,0,0,0,0,other,6,48
BRONX,7,0,0,0,86,68,13,0,0,0,0,0,0,0,violent,5,117
BROOKLYN,7,0,0,0,90,74,12.1,0,0,0,0,0,0,0,theft_property,1,65
