boro,month,awnd,prcp,snow,tmax,tmin,wsf2,wt01,wt02,wt03,wt04,wt06,wt08,holiday,crime_type,weekday,value
QUEENS,12,0,0,0,51,43,10.1,1,0,0,0,0,1,0,theft_property,7,20
QUEENS,11,1,0,0,42,31,19.9,0,0,0,0,0,0,0,theft_property,7,27
STATEN ISLAND,11,1,0,0,43,30,19.9,0,0,0,0,0,0,0,other,1,2
MANHATTAN,12,1,1,0,41,37,25.1,1,0,0,0,0,0,0,theft_property,2,34
MANHATTAN,12,1,1,0,48,33,14.1,1,0,0,0,0,1,0,violent,6,29
STATEN ISLAND,11,1,0,0,53,39,13,0,0,0,0,0,0,0,theft_property,2,6
STATEN ISLAND,11,1,0,0,49,40,16.1,0,0,0,0,0,0,0,theft_property,4,5
BRONX,12,0,0,0,46,30,14.1,0,0,0,0,0,1,0,other,1,16
BRONX,12,1,0,0,39,32,13,0,0,0,0,0,1,0,theft_property,4,41
STATEN ISLAND,11,1,1,0,42,37,15,1,0,0,0,0,1,0,other,2,13
BRONX,11,1,0,0,40,30,14.1,0,0,0,0,0,0,0,theft_property,6,26
BROOKLYN,11,1,0,0,40,30,14.1,0,0,0,0,0,0,0,other,6,30
STATEN ISLAND,4,0,0,0,73,60,8.9,1,0,0,0,0,1,0,theft_property,1,6
STATEN ISLAND,4,1,0,0,60,45,14.1,1,0,0,0,0,1,0,theft_property,4,6
QUEENS,12,1,0,0,47,36,15,0,0,0,0,0,0,0,violent,3,14
QUEENS,12,1,0,0,58,39,17,1,0,0,0,0,0,0,other,3,35
STATEN ISLAND,5,0,1,0,52,44,8.1,1,0,0,0,0,0,0,violent,3,8
BRONX,11,1,0,0,43,30,19.9,0,0,0,0,0,0,0,violent,1,33
QUEENS,11,0,0,0,45,34,12.1,0,0,0,0,0,0,0,violent,7,32
QUEENS,12,1,0,1,36,21,19.9,1,0,0,0,0,1,0,other,4,34
BRONX,12,1,0,0,38,30,15,0,0,0,0,0,0,0,violent,7,64
STATEN ISLAND,4,0,0,0,68,39,13,1,0,0,0,0,1,0,other,7,8
MANHATTAN,11,0,0,0,51,37,12.1,0,0,0,0,0,0,0,violent,6,45
BROOKLYN,12,0,0,0,57,41,14.1,0,0,0,0,0,0,0,other,2,36
QUEENS,4,0,1,0,64,55,6.9,0,0,0,0,0,1,0,theft_property,7,16
MANHATTAN,11,1,0,0,53,37,23,0,0,0,0,0,0,1,other,5,11
MANHATTAN,11,1,0,0,53,37,23,0,0,0,0,0,0,1,theft_property,5,34
BRONX,12,0,0,0,36,26,15,0,0,0,0,0,0,0,other,5,44
STATEN ISLAND,12,1,1,0,39,30,23,1,0,0,0,1,0,0,theft_property,1,2
QUEENS,12,1,0,0,25,16,19.9,0,0,0,0,0,0,0,violent,5,31
BROOKLYN,12,1,0,0,38,30,15,0,0,0,0,0,0,0,other,7,31
QUEENS,11,0,0,0,43,31,13,0,0,0,0,0,0,0,violent,7,28
BRONX,12,1,1,0,35,32,17,1,0,0,0,1,0,0,theft_property,3,21
BRONX,12,1,0,0,46,36,13,1,0,0,0,0,1,0,theft_property,5,32
BRONX,12,0,0,0,47,32,8.9,0,0,0,0,0,0,1,theft_property,4,9
BRONX,12,1,1,0,41,37,25.1,1,0,0,0,0,0,0,other,2,20
QUEENS,12,1,0,0,46,36,13,1,0,0,0,0,1,0,theft_property,5,31
QUEENS,12,1,1,0,39,30,23,1,0,0,0,1,0,0,theft_property,1,27
BRONX,12,0,0,0,44,39,10.1,1,0,0,0,0,0,0,violent,1,31
STATEN ISLAND,5,0,0,0,78,50,12.1,1,0,0,0,0,1,0,violent,5,7
BROOKLYN,12,0,0,0,36,26,15,0,0,0,0,0,0,0,other,5,37
MANHATTAN,12,0,0,0,36,26,15,0,0,0,0,0,0,0,violent,5,44
MANHATTAN,12,1,1,0,56,45,19.9,1,0,0,0,0,0,0,violent,7,42
MANHATTAN,11,1,1,0,42,37,15,1,0,0,0,0,1,0,violent,2,40
QUEENS,5,0,0,0,69,44,10.1,1,0,0,0,0,0,0,violent,4,70
MANHATTAN,12,1,0,1,36,21,19.9,1,0,0,0,0,1,0,theft_property,4,50
MANHATTAN,12,0,0,0,46,28,10.1,0,0,0,0,0,0,0,violent,1,34
STATEN ISLAND,12,0,0,0,46,28,10.1,0,0,0,0,0,0,0,theft_property,1,5
STATEN ISLAND,11,0,0,0,43,31,13,0,0,0,0,0,0,0,theft_property,7,2
QUEENS,11,0,0,0,43,31,13,0,0,0,0,0,0,0,other,7,27
STATEN ISLAND,5,0,0,0,56,50,8.9,1,0,1,0,0,1,0,theft_property,6,7
QUEENS,12,0,0,0,46,28,10.1,0,0,0,0,0,0,0,violent,1,34
MANHATTAN,12,1,0,0,25,16,19.9,0,0,0,0,0,0,0,other,5,33
BROOKLYN,12,1,1,0,56,45,19.9,1,0,0,0,0,0,0,violent,7,43
MANHATTAN,12,1,0,0,49,37,21,0,0,0,0,0,0,0,theft_property,1,25
QUEENS,11,1,1,0,46,40,17,1,0,0,0,0,0,0,other,1,25
MANHATTAN,12,0,0,0,37,33,12.1,1,0,0,0,1,0,0,other,2,36
BRONX,5,0,0,0,73,56,10.1,1,0,0,0,0,0,0,other,6,32
STATEN ISLAND,6,0,0,0,81,66,8.1,0,0,0,0,0,1,0,violent,6,4
STATEN ISLAND,3,1,0,0,58,37,19.9,0,0,0,0,0,0,0,theft_property,7,6
STATEN ISLAND,4,1,0,0,67,41,21.9,0,0,0,0,0,0,0,theft_property,4,10
MANHATTAN,4,0,0,0,77,59,8.9,1,0,0,0,0,1,0,other,7,28
STATEN ISLAND,6,1,1,0,77,63,15,1,0,0,0,0,0,0,violent,3,13
MANHATTAN,6,0,1,0,81,61,12.1,1,1,1,0,0,1,0,violent,1,28
STATEN ISLAND,6,0,1,0,78,65,8.1,1,0,1,0,0,1,0,violent,5,9
BRONX,5,0,0,0,80,63,10.1,1,0,0,0,0,0,0,theft_property,6,30
STATEN ISLAND,4,0,0,0,60,41,10.1,1,0,0,0,0,0,0,violent,2,6
STATEN ISLAND,4,0,1,0,79,49,15,1,0,0,0,0,1,0,violent,2,8
STATEN ISLAND,4,0,0,0,77,56,8.9,1,0,0,0,0,0,0,theft_property,3,11
STATEN ISLAND,6,1,0,0,73,58,17,1,0,0,0,0,0,0,theft_property,6,3
STATEN ISLAND,4,1,0,0,66,44,17,0,0,0,0,0,0,0,violent,3,4
STATEN ISLAND,6,0,0,0,87,72,8.9,1,0,0,0,0,0,0,other,4,11
BRONX,6,1,0,0,78,60,14.1,0,0,0,0,0,0,0,other,1,36
STATEN ISLAND,4,1,0,0,69,55,15,0,0,0,0,0,0,0,theft_property,4,6
MANHATTAN,4,0,0,0,66,48,10.1,0,0,0,0,0,0,0,other,5,35
STATEN ISLAND,3,0,0,0,53,37,8.9,0,0,0,0,0,0,0,other,5,10
STATEN ISLAND,3,0,0,0,70,52,8.9,0,0,0,0,0,0,0,other,7,9
MANHATTAN,4,1,1,0,65,46,23.9,1,0,1,0,0,0,0,other,2,30
STATEN ISLAND,5,0,0,0,71,53,6.9,1,0,0,0,0,1,0,theft_property,7,4
STATEN ISLAND,6,1,1,0,70,60,15,1,0,0,0,0,0,0,violent,2,6
MANHATTAN,5,1,1,0,58,51,17,1,0,0,0,0,0,0,other,1,28
BRONX,6,1,0,0,70,58,15,0,0,0,0,0,0,0,other,2,29
STATEN ISLAND,4,0,0,0,60,41,10.1,1,0,0,0,0,0,0,other,2,11
BRONX,4,0,0,0,53,45,12.1,0,0,0,0,0,0,0,other,1,31
QUEENS,5,0,0,0,80,64,13,0,0,0,0,0,0,1,other,2,27
STATEN ISLAND,5,0,0,0,71,55,10.1,1,0,0,0,0,0,0,violent,4,14
STATEN ISLAND,4,1,0,0,66,44,17,0,0,0,0,0,0,0,other,3,7
STATEN ISLAND,6,0,0,0,83,68,12.1,1,0,0,0,0,0,0,violent,5,14
STATEN ISLAND,4,0,0,0,68,39,13,1,0,0,0,0,1,0,theft_property,7,5
STATEN ISLAND,6,0,1,0,84,72,8.1,1,1,1,0,0,1,0,theft_property,3,11
BRONX,6,1,0,0,78,60,14.1,0,0,0,0,0,0,0,theft_property,1,22
STATEN ISLAND,5,0,0,0,78,50,12.1,1,0,0,0,0,1,0,other,5,8
BROOKLYN,5,0,0,0,86,59,12.1,1,0,1,0,0,1,0,violent,1,64
STATEN ISLAND,6,0,0,0,70,54,12.1,0,0,0,0,0,0,0,theft_property,3,7
STATEN ISLAND,4,0,1,0,59,51,14.1,1,1,0,0,0,0,0,violent,6,7
BRONX,6,0,0,0,84,67,8.1,0,0,0,0,0,0,0,theft_property,2,31
BRONX,6,0,0,0,81,64,14.1,0,0,0,0,0,0,0,theft_property,4,46
STATEN ISLAND,6,0,0,0,83,68,12.1,1,0,0,0,0,0,0,theft_property,5,16
STATEN ISLAND,3,0,0,0,60,38,13,0,0,0,0,0,0,0,violent,1,3
STATEN ISLAND,4,0,0,0,51,46,10.1,1,0,1,0,0,1,0,theft_property,3,8
BRONX,6,0,0,0,71,66,8.1,1,0,0,0,0,1,0,theft_property,4,42
BRONX,6,0,0,0,81,66,8.1,0,0,0,0,0,1,0,violent,6,66
STATEN ISLAND,3,0,0,0,49,32,8.1,0,0,0,0,0,1,0,violent,4,9
STATEN ISLAND,6,1,1,0,70,60,15,1,0,0,0,0,0,0,other,2,6
BROOKLYN,6,0,1,0,81,61,12.1,1,1,1,0,0,1,0,violent,1,45
QUEENS,6,0,0,0,89,73,10.1,0,0,0,0,0,0,0,other,6,28
STATEN ISLAND,4,0,0,0,77,59,8.9,1,0,0,0,0,1,0,other,7,9
STATEN ISLAND,5,0,1,0,70,56,12.1,1,0,1,0,0,1,0,violent,4,7
STATEN ISLAND,4,0,0,0,51,46,10.1,1,0,1,0,0,1,0,other,3,11
BROOKLYN,5,0,0,0,80,64,13,0,0,0,0,0,0,1,theft_property,2,27
QUEENS,5,0,0,0,80,64,13,0,0,0,0,0,0,1,violent,2,61
STATEN ISLAND,4,0,0,0,52,39,14.1,0,0,0,0,0,0,0,theft_property,3,13
STATEN ISLAND,5,1,0,0,73,61,18.1,0,0,0,0,0,0,0,other,6,5
MANHATTAN,6,0,1,0,81,61,12.1,1,1,1,0,0,1,0,other,1,26
QUEENS,5,0,1,0,70,57,8.9,1,0,1,0,0,1,0,other,5,42
STATEN ISLAND,6,0,1,0,73,67,10.1,1,0,0,0,0,0,0,other,3,18
STATEN ISLAND,4,0,0,0,55,40,14.1,0,0,0,0,0,0,0,theft_property,5,9
STATEN ISLAND,6,1,0,0,79,61,15,0,0,0,0,0,1,0,theft_property,7,5
QUEENS,6,0,1,0,81,61,12.1,1,1,1,0,0,1,0,violent,1,53
STATEN ISLAND,6,0,0,0,81,60,15,0,0,0,0,0,0,0,theft_property,7,2
QUEENS,6,0,0,0,89,73,10.1,0,0,0,0,0,0,0,theft_property,6,29
BRONX,6,1,0,0,79,61,15,0,0,0,0,0,1,0,other,7,27
QUEENS,6,0,0,0,81,60,15,0,0,0,0,0,0,0,theft_property,7,19
STATEN ISLAND,6,0,0,0,89,73,10.1,0,0,0,0,0,0,0,theft_property,6,6
STATEN ISLAND,4,0,0,0,52,39,14.1,0,0,0,0,0,0,0,other,3,7
STATEN ISLAND,6,0,0,0,74,59,12.1,0,0,0,0,0,0,0,other,4,18
MANHATTAN,6,1,0,0,78,60,14.1,0,0,0,0,0,0,0,other,1,19
STATEN ISLAND,3,0,0,0,53,37,10.1,0,0,0,0,0,0,0,other,4,7
BRONX,6,1,0,0,81,63,16.1,1,0,0,0,0,1,0,other,7,28
MANHATTAN,6,1,0,0,80,65,15,0,0,0,0,0,0,0,other,1,17
MANHATTAN,6,0,0,0,89,73,10.1,0,0,0,0,0,0,0,other,6,30
STATEN ISLAND,5,0,0,0,74,51,13,0,0,0,0,0,0,0,other,2,7
STATEN ISLAND,4,0,0,0,55,40,14.1,0,0,0,0,0,0,0,violent,5,10
BRONX,6,1,0,0,83,69,21,0,0,0,0,0,0,0,other,1,15
STATEN ISLAND,6,0,0,0,70,54,12.1,0,0,0,0,0,0,0,other,3,7
STATEN ISLAND,6,0,1,0,78,65,8.1,1,0,1,0,0,1,0,other,5,11
BRONX,6,0,0,0,76,69,10.1,0,0,0,0,0,0,0,theft_property,2,24
STATEN ISLAND,5,0,0,0,56,50,8.9,1,0,1,0,0,1,0,other,6,5
STATEN ISLAND,6,0,0,0,81,64,14.1,0,0,0,0,0,0,0,other,4,12
STATEN ISLAND,5,0,0,0,86,59,12.1,1,0,1,0,0,1,0,other,1,11
STATEN ISLAND,5,0,0,0,71,55,12.1,0,0,0,0,0,0,0,violent,7,11
BROOKLYN,5,0,0,0,71,62,12.1,1,0,1,0,0,0,0,other,3,50
STATEN ISLAND,4,0,0,0,73,60,8.9,1,0,0,0,0,1,0,other,1,7
QUEENS,5,0,0,0,71,53,6.9,1,0,0,0,0,1,0,theft_property,7,11
BROOKLYN,5,0,0,0,86,59,12.1,1,0,1,0,0,1,0,other,1,33
STATEN ISLAND,5,1,0,0,73,61,18.1,0,0,0,0,0,0,0,violent,6,11
STATEN ISLAND,5,0,0,0,80,64,13,0,0,0,0,0,0,1,violent,2,6
STATEN ISLAND,6,0,0,0,74,59,12.1,0,0,0,0,0,0,0,theft_property,4,9
STATEN ISLAND,5,0,0,0,86,59,12.1,1,0,1,0,0,1,0,violent,1,14
BRONX,6,1,0,0,79,61,15,0,0,0,0,0,1,0,theft_property,7,22
STATEN ISLAND,3,0,0,0,49,32,8.1,0,0,0,0,0,1,0,theft_property,4,5
STATEN ISLAND,3,0,0,0,70,52,8.9,0,0,0,0,0,0,0,theft_property,7,4
STATEN ISLAND,6,1,1,0,70,60,15,1,0,0,0,0,0,0,theft_property,2,11
STATEN ISLAND,4,1,0,0,58,47,21,1,0,0,0,0,0,0,theft_property,7,5
STATEN ISLAND,5,0,0,0,76,60,13,1,0,0,0,0,0,0,theft_property,6,5
BROOKLYN,7,0,0,0,86,72,15,0,0,0,0,0,0,0,theft_property,1,28
STATEN ISLAND,4,0,0,0,62,51,10.1,0,0,0,0,0,0,0,other,5,3
STATEN ISLAND,7,0,0,0,84,70,10.1,0,0,0,0,0,0,0,other,5,10
MANHATTAN,5,0,0,0,76,60,13,1,0,0,0,0,0,0,other,6,36
QUEENS,8,0,0,0,87,70,8.9,1,0,0,0,0,0,0,violent,5,44
STATEN ISLAND,3,0,0,0,59,49,10.1,0,0,0,0,0,0,0,theft_property,6,2
STATEN ISLAND,7,0,0,0,91,71,13,0,0,0,0,0,0,0,violent,6,12
BROOKLYN,7,0,1,0,74,67,12.1,1,0,0,0,0,0,0,other,3,42
STATEN ISLAND,4,0,1,0,68,46,8.9,1,0,0,0,0,0,0,other,6,6
QUEENS,7,0,0,0,88,69,8.9,0,0,0,0,0,0,0,theft_property,6,41
STATEN ISLAND,6,0,0,0,81,66,8.1,0,0,0,0,0,1,0,theft_property,6,8
STATEN ISLAND,7,0,0,0,87,75,10.1,0,0,0,0,0,0,0,violent,4,24
STATEN ISLAND,4,0,0,0,66,53,10.1,0,0,0,0,0,0,0,other,1,3
STATEN ISLAND,5,0,0,0,71,62,12.1,1,0,1,0,0,0,0,theft_property,3,4
STATEN ISLAND,5,0,1,0,72,55,14.1,1,0,0,0,0,0,0,other,5,8
STATEN ISLAND,6,1,0,0,70,58,15,0,0,0,0,0,0,0,theft_property,2,5
STATEN ISLAND,5,0,1,0,70,56,12.1,1,0,1,0,0,1,0,other,4,11
STATEN ISLAND,7,0,1,0,87,73,12.1,1,0,1,0,0,0,0,violent,5,11
STATEN ISLAND,4,1,0,0,46,33,16.1,0,0,0,0,0,0,0,theft_property,2,3
STATEN ISLAND,5,0,0,0,71,55,12.1,0,0,0,0,0,0,0,other,7,7
BRONX,7,0,0,0,91,71,13,0,0,0,0,0,0,0,other,6,39
STATEN ISLAND,4,0,0,0,77,59,8.9,1,0,0,0,0,1,0,theft_property,7,4
STATEN ISLAND,7,0,1,0,79,71,15,1,0,0,0,0,0,0,other,5,7
STATEN ISLAND,7,0,0,0,95,82,13,0,0,0,0,0,0,0,theft_property,7,6
STATEN ISLAND,8,0,0,0,86,68,18.1,1,0,1,0,0,0,0,violent,7,5
QUEENS,7,0,0,0,95,82,13,0,0,0,0,0,0,0,other,7,24
STATEN ISLAND,5,0,0,0,80,63,10.1,1,0,0,0,0,0,0,violent,6,3
STATEN ISLAND,4,1,1,0,65,46,23.9,1,0,1,0,0,0,0,violent,2,4
STATEN ISLAND,7,0,0,0,95,80,14.1,0,0,1,0,0,0,0,other,1,6
STATEN ISLAND,5,1,0,0,71,56,15,0,0,0,0,0,0,0,theft_property,3,6
MANHATTAN,8,0,0,0,79,71,8.9,1,0,0,0,0,1,0,violent,3,48
STATEN ISLAND,8,0,0,0,87,70,8.9,1,0,0,0,0,0,0,violent,5,12
QUEENS,7,1,0,0,87,72,12.1,1,0,0,0,0,0,0,theft_property,6,41
QUEENS,8,0,0,0,82,70,13,0,0,0,0,0,0,0,violent,2,45
QUEENS,7,0,0,0,78,68,8.1,1,0,0,0,0,0,0,other,2,36
QUEENS,7,0,0,0,78,68,8.1,1,0,0,0,0,0,0,theft_property,2,43
STATEN ISLAND,7,0,0,0,84,70,10.1,0,0,0,0,0,0,0,violent,5,13
STATEN ISLAND,7,0,0,0,88,69,8.9,0,0,0,0,0,0,0,other,6,9
QUEENS,7,0,0,0,85,68,8.9,0,0,0,0,0,0,0,theft_property,2,36
BRONX,7,0,0,0,90,76,10.1,0,0,1,0,0,0,0,theft_property,7,36
STATEN ISLAND,6,1,0,0,70,58,15,0,0,0,0,0,0,0,other,2,6
STATEN ISLAND,5,1,0,0,85,66,18.1,1,0,1,0,0,0,0,violent,2,8
QUEENS,8,0,0,0,79,71,8.9,1,0,0,0,0,1,0,violent,3,43
QUEENS,8,0,0,0,79,71,8.9,1,0,0,0,0,1,0,other,3,35
STATEN ISLAND,8,0,0,0,84,73,8.9,0,0,0,0,0,0,0,other,6,15
STATEN ISLAND,7,0,1,0,79,71,15,1,0,0,0,0,0,0,theft_property,5,7
STATEN ISLAND,4,0,1,0,59,51,14.1,1,1,0,0,0,0,0,other,6,9
STATEN ISLAND,7,1,0,0,87,72,12.1,1,0,0,0,0,0,0,other,6,11
MANHATTAN,7,0,0,0,86,72,15,0,0,0,0,0,0,0,other,1,20
STATEN ISLAND,6,1,0,0,81,63,16.1,1,0,0,0,0,1,0,theft_property,7,6
STATEN ISLAND,7,0,0,0,78,68,8.1,1,0,0,0,0,0,0,violent,2,10
STATEN ISLAND,5,0,1,0,52,44,8.1,1,0,0,0,0,0,0,other,3,7
STATEN ISLAND,5,0,0,0,56,50,8.9,1,0,0,0,0,0,0,theft_property,4,5
STATEN ISLAND,5,1,0,0,61,53,16.1,0,0,0,0,0,0,0,theft_property,5,7
STATEN ISLAND,8,0,0,0,79,71,8.9,1,0,0,0,0,1,0,other,3,7
STATEN ISLAND,8,0,0,0,86,68,18.1,1,0,1,0,0,0,0,other,7,8
STATEN ISLAND,4,0,0,0,66,53,10.1,0,0,0,0,0,0,0,violent,1,3
QUEENS,7,0,0,0,95,80,14.1,0,0,1,0,0,0,0,other,1,34
STATEN ISLAND,4,0,0,0,60,48,10.1,1,0,0,0,0,1,0,theft_property,3,8
BROOKLYN,5,0,0,0,71,55,12.1,0,0,0,0,0,0,0,theft_property,7,42
STATEN ISLAND,5,0,0,0,76,60,12.1,1,0,1,0,0,0,0,violent,1,7
STATEN ISLAND,5,0,0,0,71,55,10.1,1,0,0,0,0,0,0,other,4,13
STATEN ISLAND,5,1,1,0,58,51,17,1,0,0,0,0,0,0,theft_property,1,4
STATEN ISLAND,5,0,0,0,73,56,10.1,1,0,0,0,0,0,0,theft_property,6,7
STATEN ISLAND,5,0,0,0,71,53,6.9,1,0,0,0,0,1,0,violent,7,3
STATEN ISLAND,6,0,0,0,81,60,15,0,0,0,0,0,0,0,violent,7,9
STATEN ISLAND,5,0,0,0,56,50,8.9,1,0,0,0,0,0,0,other,4,7
STATEN ISLAND,7,0,0,0,90,74,13,0,0,0,0,0,1,1,violent,5,14
STATEN ISLAND,5,0,0,0,76,60,12.1,1,0,1,0,0,0,0,other,1,5
STATEN ISLAND,5,0,0,0,73,52,13,1,0,0,0,0,0,0,other,5,8
BRONX,8,0,0,0,86,68,18.1,1,0,1,0,0,0,0,other,7,32
STATEN ISLAND,6,1,0,0,80,65,15,0,0,0,0,0,0,0,violent,1,5
STATEN ISLAND,5,1,1,0,48,42,15,1,0,0,0,0,0,0,theft_property,2,5
STATEN ISLAND,7,0,1,0,87,70,14.1,1,0,1,0,0,0,0,theft_property,4,8
MANHATTAN,7,0,1,0,90,72,14.1,1,1,1,0,0,0,0,other,2,28
STATEN ISLAND,7,0,0,0,95,82,13,0,0,0,0,0,0,0,violent,7,8
STATEN ISLAND,7,0,0,0,88,74,12.1,0,0,0,0,0,0,0,theft_property,4,11
STATEN ISLAND,8,0,0,0,82,70,13,0,0,0,0,0,0,0,violent,2,7
QUEENS,7,0,1,0,90,72,14.1,1,1,1,0,0,0,0,theft_property,2,29
BRONX,7,0,0,0,90,74,13,0,0,0,0,0,1,1,theft_property,5,22
STATEN ISLAND,3,0,0,0,70,52,8.9,0,0,0,0,0,0,0,violent,7,2
STATEN ISLAND,8,0,0,0,87,73,8.9,1,0,0,0,0,0,0,theft_property,7,2
MANHATTAN,9,0,0,0,75,56,14.1,1,0,0,0,0,0,0,violent,7,53
STATEN ISLAND,8,0,0,0,79,68,8.9,0,0,0,0,0,0,0,theft_property,6,12
BRONX,9,1,1,0,67,58,19.9,1,0,0,0,0,1,0,violent,6,84
STATEN ISLAND,7,0,0,0,85,65,10.1,0,0,0,0,0,1,0,violent,2,9
MANHATTAN,6,0,0,0,81,60,15,0,0,0,0,0,0,0,other,7,27
BRONX,8,0,0,0,74,65,8.9,1,0,0,0,0,0,0,theft_property,6,21
STATEN ISLAND,5,0,0,0,80,64,13,0,0,0,0,0,0,1,other,2,4
STATEN ISLAND,7,0,0,0,83,67,12.1,1,0,0,0,0,0,0,theft_property,4,13
STATEN ISLAND,6,0,0,0,81,64,14.1,0,0,0,0,0,0,0,theft_property,4,7
STATEN ISLAND,8,0,0,0,88,75,8.9,0,0,0,0,0,0,0,theft_property,3,6
STATEN ISLAND,9,1,0,0,72,57,16.1,0,0,0,0,0,0,0,other,6,16
MANHATTAN,9,0,0,0,77,63,13,0,0,0,0,0,0,0,violent,1,38
BRONX,9,0,1,0,74,69,8.9,1,0,1,0,0,0,1,violent,2,45
STATEN ISLAND,9,0,1,0,74,69,8.9,1,0,1,0,0,0,1,theft_property,2,3
BRONX,8,0,0,0,84,73,10.1,1,0,0,0,0,1,0,other,4,43
STATEN ISLAND,9,0,0,0,81,61,14.1,1,0,0,0,0,1,0,violent,5,10
STATEN ISLAND,5,1,1,0,59,43,18.1,1,0,0,0,0,0,0,other,1,4
MANHATTAN,8,0,1,0,90,71,19.9,1,0,1,0,0,1,0,other,5,31
STATEN ISLAND,5,1,0,0,71,56,15,0,0,0,0,0,0,0,other,3,5
STATEN ISLAND,7,0,0,0,85,70,10.1,0,0,0,0,0,0,0,other,7,10
STATEN ISLAND,9,1,0,0,74,65,15,0,0,0,0,0,0,0,other,5,9
BRONX,8,0,0,0,88,75,8.9,0,0,0,0,0,0,0,violent,3,53
STATEN ISLAND,7,0,0,0,95,80,14.1,0,0,1,0,0,0,0,theft_property,1,5
BRONX,8,0,0,0,74,67,10.1,1,0,0,0,0,1,0,theft_property,4,37
STATEN ISLAND,6,0,0,0,87,72,8.9,1,0,0,0,0,0,0,violent,4,15
BRONX,7,0,0,0,88,69,8.9,0,0,0,0,0,0,0,theft_property,6,27
STATEN ISLAND,7,1,0,0,87,72,12.1,1,0,0,0,0,0,0,violent,6,11
STATEN ISLAND,5,0,1,0,70,57,8.9,1,0,1,0,0,1,0,other,5,9
STATEN ISLAND,7,0,0,0,87,69,10.1,1,0,0,0,0,1,0,other,3,11
MANHATTAN,9,0,0,0,77,63,13,0,0,0,0,0,0,0,theft_property,1,36
BRONX,8,0,0,0,90,72,13,0,0,1,0,0,0,0,other,2,27
BROOKLYN,8,1,0,0,74,61,15,0,0,0,0,0,0,0,theft_property,2,43
MANHATTAN,8,0,0,0,83,68,14.1,1,0,1,0,0,0,0,theft_property,6,53
MANHATTAN,9,0,0,0,81,61,14.1,1,0,0,0,0,1,0,violent,5,51
MANHATTAN,8,0,1,0,84,69,13,1,1,1,0,0,0,0,other,4,38
STATEN ISLAND,6,0,0,0,71,66,8.1,1,0,0,0,0,1,0,violent,4,8
STATEN ISLAND,6,0,1,0,81,61,12.1,1,1,1,0,0,1,0,other,1,3
STATEN ISLAND,7,0,1,0,90,72,14.1,1,1,1,0,0,0,0,violent,2,12
MANHATTAN,8,0,0,0,75,62,8.1,0,0,0,0,0,0,0,other,3,30
STATEN ISLAND,5,0,0,0,80,63,10.1,1,0,0,0,0,0,0,theft_property,6,3
STATEN ISLAND,9,0,0,0,77,63,13,0,0,0,0,0,0,0,theft_property,1,6
STATEN ISLAND,8,0,0,0,90,72,13,0,0,1,0,0,0,0,violent,2,7
QUEENS,8,0,0,0,80,63,12.1,0,0,0,0,0,0,0,theft_property,1,26
BROOKLYN,9,0,0,0,75,56,14.1,1,0,0,0,0,0,0,theft_property,7,37
BROOKLYN,8,1,0,0,81,66,14.1,0,0,0,0,0,0,0,theft_property,7,29
STATEN ISLAND,9,0,0,0,78,63,12.1,0,0,0,0,0,0,0,theft_property,1,6
BRONX,9,0,0,0,82,67,8.9,0,0,0,0,0,0,0,other,3,41
STATEN ISLAND,8,1,0,0,81,66,14.1,0,0,0,0,0,0,0,violent,7,7
BRONX,8,0,0,0,81,65,14.1,0,0,0,0,0,0,0,other,5,23
BROOKLYN,8,0,0,0,87,73,8.9,1,0,0,0,0,0,0,theft_property,7,34
STATEN ISLAND,6,0,0,0,89,71,10.1,0,0,0,0,0,0,0,violent,5,15
STATEN ISLAND,9,0,0,0,87,68,12.1,0,0,1,0,0,0,0,theft_property,4,12
STATEN ISLAND,6,1,1,0,65,55,21.9,1,0,0,0,0,0,0,theft_property,5,7
STATEN ISLAND,7,0,0,0,85,70,10.1,0,0,0,0,0,0,0,theft_property,7,4
QUEENS,8,0,0,0,80,63,12.1,0,0,0,0,0,0,0,other,1,39
BRONX,8,1,0,0,74,61,15,0,0,0,0,0,0,0,other,2,15
MANHATTAN,9,0,0,0,76,66,12.1,1,0,0,0,0,0,0,other,3,34
STATEN ISLAND,6,0,0,0,91,72,14.1,1,0,1,0,0,0,0,violent,7,6
BRONX,6,0,0,0,89,73,10.1,0,0,0,0,0,0,0,other,6,17
STATEN ISLAND,5,0,0,0,76,60,13,1,0,0,0,0,0,0,other,6,8
BRONX,9,0,0,0,78,64,12.1,0,0,0,0,0,0,0,theft_property,2,35
STATEN ISLAND,5,0,0,0,71,62,12.1,1,0,1,0,0,0,0,violent,3,6
STATEN ISLAND,5,0,0,0,69,56,10.1,1,0,0,0,0,0,0,theft_property,7,2
MANHATTAN,7,0,0,0,78,68,8.1,1,0,0,0,0,0,0,other,2,23
MANHATTAN,9,0,0,0,74,61,8.9,0,0,0,0,0,0,0,violent,7,37
BROOKLYN,9,0,0,0,78,63,12.1,0,0,0,0,0,0,0,other,1,35
BRONX,8,0,0,0,75,62,8.1,0,0,0,0,0,0,0,theft_property,3,29
STATEN ISLAND,8,0,0,0,90,72,13,0,0,1,0,0,0,0,other,2,6
STATEN ISLAND,9,1,0,0,88,69,13,0,0,0,0,0,0,0,violent,4,7
STATEN ISLAND,9,0,0,0,77,63,13,0,0,0,0,0,0,0,violent,1,5
QUEENS,9,0,0,0,82,67,8.9,0,0,0,0,0,0,0,other,3,41
